"SUBJECT","YEAR_ID","MONTH_ID","DETAIL_NAME_THAI","COUNTRY","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2544,9,"ก๊าซธรรมชาติ","เมียนมา",21891,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2544,10,"ก๊าซธรรมชาติ","เมียนมา",21224.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2544,11,"ก๊าซธรรมชาติ","เมียนมา",17533.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2544,12,"ก๊าซธรรมชาติ","เมียนมา",17943.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,1,"ก๊าซธรรมชาติ","เมียนมา",19359.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,2,"ก๊าซธรรมชาติ","เมียนมา",20026.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,3,"ก๊าซธรรมชาติ","เมียนมา",22563.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,4,"ก๊าซธรรมชาติ","เมียนมา",19343.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,5,"ก๊าซธรรมชาติ","เมียนมา",21948.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,6,"ก๊าซธรรมชาติ","เมียนมา",26689.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,7,"ก๊าซธรรมชาติ","เมียนมา",26379.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,8,"ก๊าซธรรมชาติ","เมียนมา",25470.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,9,"ก๊าซธรรมชาติ","เมียนมา",22679,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,10,"ก๊าซธรรมชาติ","เมียนมา",24982,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,11,"ก๊าซธรรมชาติ","เมียนมา",25309.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2545,12,"ก๊าซธรรมชาติ","เมียนมา",24648.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,1,"ก๊าซธรรมชาติ","เมียนมา",23676.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,2,"ก๊าซธรรมชาติ","เมียนมา",21676.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,3,"ก๊าซธรรมชาติ","เมียนมา",27773.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,4,"ก๊าซธรรมชาติ","เมียนมา",28202.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,5,"ก๊าซธรรมชาติ","เมียนมา",28399,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,6,"ก๊าซธรรมชาติ","เมียนมา",25989,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,7,"ก๊าซธรรมชาติ","เมียนมา",28309,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,8,"ก๊าซธรรมชาติ","เมียนมา",27000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,9,"ก๊าซธรรมชาติ","เมียนมา",26739,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,10,"ก๊าซธรรมชาติ","เมียนมา",29144,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,11,"ก๊าซธรรมชาติ","เมียนมา",24675,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2546,12,"ก๊าซธรรมชาติ","เมียนมา",18585,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,1,"ก๊าซธรรมชาติ","เมียนมา",17553,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,2,"ก๊าซธรรมชาติ","เมียนมา",20397,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,3,"ก๊าซธรรมชาติ","เมียนมา",29628,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,4,"ก๊าซธรรมชาติ","เมียนมา",28675,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,5,"ก๊าซธรรมชาติ","เมียนมา",29156,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,6,"ก๊าซธรรมชาติ","เมียนมา",28314,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,7,"ก๊าซธรรมชาติ","เมียนมา",29652,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,8,"ก๊าซธรรมชาติ","เมียนมา",29339,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,9,"ก๊าซธรรมชาติ","เมียนมา",28651,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,10,"ก๊าซธรรมชาติ","เมียนมา",30321,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,11,"ก๊าซธรรมชาติ","เมียนมา",29795,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2547,12,"ก๊าซธรรมชาติ","เมียนมา",27935,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,1,"ก๊าซธรรมชาติ","เมียนมา",28972,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,2,"ก๊าซธรรมชาติ","เมียนมา",29847,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,3,"ก๊าซธรรมชาติ","เมียนมา",32752,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,4,"ก๊าซธรรมชาติ","เมียนมา",32198,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,5,"ก๊าซธรรมชาติ","เมียนมา",33769,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,6,"ก๊าซธรรมชาติ","เมียนมา",33015,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,7,"ก๊าซธรรมชาติ","เมียนมา",31713,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,8,"ก๊าซธรรมชาติ","เมียนมา",32352,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,9,"ก๊าซธรรมชาติ","เมียนมา",30057,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,10,"ก๊าซธรรมชาติ","เมียนมา",32449,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,11,"ก๊าซธรรมชาติ","เมียนมา",30839,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2548,12,"ก๊าซธรรมชาติ","เมียนมา",26632,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,1,"ก๊าซธรรมชาติ","เมียนมา",25709,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,2,"ก๊าซธรรมชาติ","เมียนมา",25691,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,3,"ก๊าซธรรมชาติ","เมียนมา",34490,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,4,"ก๊าซธรรมชาติ","เมียนมา",30407,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,5,"ก๊าซธรรมชาติ","เมียนมา",35007,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,6,"ก๊าซธรรมชาติ","เมียนมา",33809,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,7,"ก๊าซธรรมชาติ","เมียนมา",32837,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,8,"ก๊าซธรรมชาติ","เมียนมา",34326,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,9,"ก๊าซธรรมชาติ","เมียนมา",32763,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,10,"ก๊าซธรรมชาติ","เมียนมา",32148,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,11,"ก๊าซธรรมชาติ","เมียนมา",33520,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2549,12,"ก๊าซธรรมชาติ","เมียนมา",29455,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,1,"ก๊าซธรรมชาติ","เมียนมา",30627,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,2,"ก๊าซธรรมชาติ","เมียนมา",29424,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,3,"ก๊าซธรรมชาติ","เมียนมา",35506,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,4,"ก๊าซธรรมชาติ","เมียนมา",30812,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,5,"ก๊าซธรรมชาติ","เมียนมา",35305,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,6,"ก๊าซธรรมชาติ","เมียนมา",34426,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,7,"ก๊าซธรรมชาติ","เมียนมา",19952,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,8,"ก๊าซธรรมชาติ","เมียนมา",20270,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,9,"ก๊าซธรรมชาติ","เมียนมา",21010,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,10,"ก๊าซธรรมชาติ","เมียนมา",57381,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,11,"ก๊าซธรรมชาติ","เมียนมา",54198,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2550,12,"ก๊าซธรรมชาติ","เมียนมา",30.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
