dataset_title,dataset_url,dataset_description,resource_label,download_url,saved_path,http_status,bytes,error
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2563XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/8c2ec335-8232-4e21-8d00-936bb8701846/download/35-2563.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันดิบ\35-2563.xlsx,200,9099,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2564XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/532a0e37-e6a0-4901-9b52-eb9e2d1d4892/download/35-2564.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันดิบ\35-2564.xlsx,200,9098,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2565XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/cef2c4da-5d74-4c95-82df-73b45a9bf6ef/download/35-2565.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันดิบ\35-2565.xlsx,200,9093,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2566XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/e87efa41-6b36-413b-9728-b4dac3a022ee/download/35-2566.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันดิบ\35-2566.xlsx,200,9088,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2567XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/5eae5621-eaee-421f-9677-b3b6d53c4e5a/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันดิบ\untitled.xlsx,200,9132,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ราคาการนำเข้าน้ำมันสำเร็จรูป ปี 2564XLSX,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/5534c37f-9542-49ce-95bc-997a2d840800/download/34-2564.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2564.xlsx,200,22069,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ราคาการนำเข้าน้ำมันสำเร็จรูป ปี 2565XLSX,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/a1b1993f-eec9-4965-8f40-d6b3d4746e10/download/34-2565.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2565.xlsx,200,21544,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ราคาการนำเข้าน้ำมันสำเร็จรูป ปี 2566XLSX,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/515eb811-873b-4862-93b5-f90b5b6f68dc/download/34-2566.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2566.xlsx,200,21318,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ราคาการนำเข้าน้ำมันสำเร็จรูป 2567XLSX,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/8633da25-67dc-41d9-86c5-7ab93c1f4c35/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\untitled.xlsx,200,29407,
มูลค่าการนําเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/crude-value,มูลค่าการนําเข้าน้ำมันดิบ โดยข้อมูลผู้ค้าน้ำมัน ตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ.2543,มูลค่าการนำเข้าน้ำมันดิบXLSX,https://data.doeb.go.th/dataset/61df10f0-395e-4029-88ce-135df8993957/resource/e5cd0162-96ae-422b-a512-3ae8896b902d/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\มูลค่าการนําเข้าน้ำมันดิบ\untitled.xlsx,200,19259,
มูลค่าการนําเข้าน้ำมันสําเร็จรูป,https://data.doeb.go.th/dataset/oil-value-import,มูลค่าการนําเข้ามันสําเร็จรูป โดยข้อมูลผู้ค้าน้ำมัน ตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ.2543,มูลค่านำเข้าน้ำมันสำเร็จรูปXLS,https://data.doeb.go.th/dataset/36e864c5-5342-43f6-9937-9225fa03a7e1/resource/a6b1fa43-82f1-4b21-984e-e9b32dba1b8a/download/untitled.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\มูลค่าการนําเข้าน้ำมันสําเร็จรูป\untitled.csv,200,8536,
ปริมาณการนำเข้าน้ำมันเชื้อเพลิง,https://data.doeb.go.th/dataset/s5,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,การนำเข้าน้ำมันสำเร็จรูป ปี 2535 - 2567XLS,https://data.doeb.go.th/dataset/2c34a95a-880e-4d9c-84be-e75b6320f66a/resource/2f837743-2aa4-4b18-a02b-b51ef763c7ce/download/7.import_2535-2567.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าน้ำมันเชื้อเพลิง\7.import_2535-2567.xls,200,89600,
การนำเข้าน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน,https://data.doeb.go.th/dataset/import_2535_current,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน (ข้อมูลจำแนกเป็นรายปี),การนำเข้าน้ำมันเชื้อเพลิง ปี 2535 ถึงปัจจุบันXLS,https://data.doeb.go.th/dataset/6b9d5a0e-af4a-4666-a506-5d444b961a9a/resource/cf29fb9b-e040-49ee-b8c4-968a10644b8b/download/7.import_2535-2567.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\การนำเข้าน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน\7.import_2535-2567.xls,200,89600,
การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง,https://data.doeb.go.th/dataset/import_1year_ago,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง (ข้อมูลจำแนกเป็นรายเดือน),การนำเข้าน้ำมันเชื้อเพลิง ปี 2565-2566 (มิถุนายน 2566)XLS,https://data.doeb.go.th/dataset/68e764ca-0476-4823-ac8d-30f05b0594c4/resource/2b7fad8c-3865-4693-bf74-686560df00d1/download/12.import_month_2565-2566_june.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง\12.import_month_2565-2566_june.xls,200,670720,
การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง,https://data.doeb.go.th/dataset/import_1year_ago,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง (ข้อมูลจำแนกเป็นรายเดือน),การนำเข้าน้ำมันเชื้อเพลิง ปี 2565-2566 (กรกฎาคม 2566)XLS,https://data.doeb.go.th/dataset/68e764ca-0476-4823-ac8d-30f05b0594c4/resource/40a4bc4d-8ff5-4498-af6a-b7f2b2778d08/download/3.import_1year_ago_july66.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง\3.import_1year_ago_july66.xls,200,670720,
การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 5 ปีย้อนหลัง,https://data.doeb.go.th/dataset/import_5years_ago,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 5 ปีย้อนหลัง (ข้อมูลจำแนกเป็นรายปี),การนำเข้าน้ำมันเชื้อเพลิง ปี 2561-2565XLS,https://data.doeb.go.th/dataset/b88cede8-3392-4c5d-b717-cc364777480f/resource/3adf5b23-3296-4d0c-8348-04ed062a1283/download/8.import_year_2561-2565.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\การนำเข้าน้ำมันเชื้อเพลิง เปรียบเทียบ 5 ปีย้อนหลัง\8.import_year_2561-2565.xls,200,98816,
การนำเข้าน้ำมันเชื้อเพลิง ประจำปี,https://data.doeb.go.th/dataset/import_month,ปริมาณการนำเข้าน้ำมันเชื้อเพลิง ประจำปี (ข้อมูลจำแนกเป็นรายเดือน),การนำเข้าน้ำมันเชื้อเพลิง ประจำปี 2565XLS,https://data.doeb.go.th/dataset/095b2531-15df-4235-9e6f-0ab31be61285/resource/a404814e-1584-46fb-8335-7293f4c87836/download/4.import_month_2565.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\การนำเข้าน้ำมันเชื้อเพลิง ประจำปี\4.import_month_2565.xls,200,174080,
สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,https://data.doeb.go.th/dataset/report_month,รายงานสรุปปริมาณการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง เดือนมิถุนายน 2566XLS,https://data.doeb.go.th/dataset/a5d0bb52-0acd-40b2-a762-e604ba44757b/resource/a64579a7-d06b-45be-aa05-b915a08115cf/download/1.report_june_2566.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน\1.report_june_2566.xls,200,7186944,
สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,https://data.doeb.go.th/dataset/report_month,รายงานสรุปปริมาณการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง เดือนพฤษภาคม 2566XLS,https://data.doeb.go.th/dataset/a5d0bb52-0acd-40b2-a762-e604ba44757b/resource/505775ec-53ad-42e8-92f4-6c30243ec3c0/download/1.report_may_2566.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน\1.report_may_2566.xls,200,7205376,
สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,https://data.doeb.go.th/dataset/report_month,รายงานสรุปปริมาณการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง เดือนกรกฎาคม 2566XLS,https://data.doeb.go.th/dataset/a5d0bb52-0acd-40b2-a762-e604ba44757b/resource/166ad73f-3597-4b11-8908-b217e903e746/download/1.report_july66.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน\1.report_july66.xls,200,7203328,
สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี,https://data.doeb.go.th/dataset/report_year,รายงานสรุปปริมาณการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี,สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี 2565PDF,https://data.doeb.go.th/dataset/78091a3d-840a-4d68-8aa5-c0de1d70e9e1/resource/b6cbb7eb-9b17-4327-afb3-425425c3ae58/download/2.report_year-2565.pdf,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี\2.report_year-2565.pdf,200,9465540,
สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี,https://data.doeb.go.th/dataset/report_year,รายงานสรุปปริมาณการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี,สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี 2564PDF,https://data.doeb.go.th/dataset/78091a3d-840a-4d68-8aa5-c0de1d70e9e1/resource/7d78321c-bcfd-4f8d-bde5-8f1879985b65/download/2.report_year-2564.pdf,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\สรุปการจัดหาและจำหน่ายน้ำมันเชื้อเพลิง ประจำปี\2.report_year-2564.pdf,200,9755404,
