SUBJECT,YEAR_ID,MONTH_ID,BALANCE_VALUE,UNIT,DATAOWNER
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,5,6529.102,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,6,6509.508,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,7,5956.678,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,8,3841.812,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,9,5599.965,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,10,15227.012,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,11,12842.334,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2562,12,8552.686,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,1,2436.988,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,2,1974.548,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,3,3102.604,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,4,777.622,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,5,342.603,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,6,472.139,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,7,1418.027,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,8,2810.02,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,9,3762.598,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,10,1933.136,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,11,2224.412,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2563,12,2204.176,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,1,1173.699,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,2,1520.963,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,3,4863.645,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,4,2334.432,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,5,1995.057,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,6,1045.375,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,7,3003.147,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,8,1584.007,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,9,1945.477,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,10,1284.258,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,11,2289.806,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2564,12,4068.287,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,1,7404.947,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,2,5344.248,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,3,3681.013,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,4,6535.444,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,5,4112.057,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,6,7554.214,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,7,5770.187,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,8,6558.387,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,9,5590.499,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,10,5617.472,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,11,14459.352,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2565,12,15467.244,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,1,11268.712,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,2,5181.227,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,3,3300.129,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,4,4305.301,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,5,4995.931,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,6,4504.938,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2566,7,3460.219,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
